Date,Open,High,Low,Close,Volume
11-Nov-16,103.62,104.47,102.62,103.68,3833663
10-Nov-16,108.08,108.26,101.66,104.08,7301854
9-Nov-16,105.55,108.05,104.52,107.86,3650448
8-Nov-16,108.68,109.16,107.93,108.39,2453769
7-Nov-16,107.66,108.97,107.37,108.66,2729881
4-Nov-16,105.85,107.09,105.60,106.20,2587537
3-Nov-16,106.54,108.16,106.48,107.17,3666957
2-Nov-16,106.85,106.95,105.57,105.89,2140271
1-Nov-16,107.79,107.97,106.04,106.87,1951512
31-Oct-16,108.02,108.29,107.04,107.51,1678352
28-Oct-16,107.08,108.32,107.05,107.60,1931143
27-Oct-16,108.47,108.66,106.69,107.07,2393908
26-Oct-16,108.74,108.82,107.59,107.97,1623670
25-Oct-16,110.76,110.77,108.95,109.03,1713152
24-Oct-16,109.63,111.09,109.35,110.81,2014943
21-Oct-16,108.51,109.17,107.63,109.03,1838305
20-Oct-16,108.41,109.38,107.55,109.03,1820833
19-Oct-16,108.81,108.89,108.15,108.39,1282176
18-Oct-16,108.44,108.82,108.01,108.42,1318965
17-Oct-16,108.00,108.28,107.39,107.49,1136503
14-Oct-16,108.19,109.10,107.82,107.84,1968363
13-Oct-16,107.13,108.13,106.53,108.01,1588510
12-Oct-16,108.42,108.42,106.82,108.05,1464448
11-Oct-16,109.00,109.20,107.04,107.37,1970947
10-Oct-16,109.15,110.13,109.15,109.24,1581880
7-Oct-16,109.07,109.07,107.60,108.64,1412707
6-Oct-16,108.72,109.27,108.14,108.56,1590828
5-Oct-16,108.57,109.33,108.32,108.80,1854957
4-Oct-16,108.52,108.94,107.85,108.39,1394021
3-Oct-16,108.41,108.96,108.16,108.45,1553774
30-Sep-16,108.15,108.84,107.44,108.54,3717559
29-Sep-16,109.50,109.57,107.55,107.80,2436886
28-Sep-16,109.48,109.68,108.82,109.49,2740322
27-Sep-16,106.99,109.76,106.74,109.70,3531392
26-Sep-16,106.91,107.57,106.53,107.26,2342661
23-Sep-16,107.21,108.00,106.79,107.47,3087239
22-Sep-16,107.46,108.50,107.01,107.92,3960346
21-Sep-16,106.54,108.22,105.80,107.78,8764529
20-Sep-16,100.16,100.90,99.72,100.62,4104871
19-Sep-16,99.21,100.21,99.02,99.68,3307490
16-Sep-16,99.26,99.67,98.32,98.93,3700615
15-Sep-16,98.84,100.04,98.49,99.62,3094979
14-Sep-16,98.95,99.55,98.49,98.79,2028975
13-Sep-16,99.92,99.92,97.87,98.77,3797564
12-Sep-16,99.18,100.50,99.00,100.32,2882638
9-Sep-16,100.97,101.28,99.38,99.38,3379338
8-Sep-16,102.77,102.97,101.62,101.88,2110629
7-Sep-16,103.47,103.51,102.58,103.00,1386851
6-Sep-16,103.33,103.74,103.09,103.50,1585082
2-Sep-16,103.49,104.16,102.94,103.57,1715379
1-Sep-16,102.23,102.97,101.81,102.90,2006579
31-Aug-16,101.66,102.60,101.51,102.31,1773004
30-Aug-16,102.09,102.39,101.51,102.00,1325120
29-Aug-16,101.85,102.68,101.40,102.30,1161560
26-Aug-16,101.68,102.75,101.08,102.06,1834580
25-Aug-16,101.15,101.79,100.91,101.69,1174109
24-Aug-16,101.00,101.52,100.69,101.14,1425470
23-Aug-16,100.46,101.28,100.24,101.14,1008572
22-Aug-16,100.32,100.68,99.92,100.24,1000917
19-Aug-16,100.31,100.60,99.72,100.32,1587902
18-Aug-16,99.60,100.93,99.60,100.67,2027030
17-Aug-16,100.65,100.81,99.45,99.70,2123885
